Concept Name,Column,Value,Confidence,Citation
Spherical Tokamak - HTS,Tritium Breeding,Liquid Li blanket,high,"Outboard-only liquid lithium blanket TBR=1.2; DPP 2025 abstract"
Spherical Tokamak - HTS,Neutron Management,Integrated blanket/shield,high,"Outboard Li blanket/shield + inboard WC cermet center-stack shielding"
Spherical Tokamak - HTS,Operation Mode,Quasi-steady,high,"15+ min pulses; reclassified per schema v0.2"
Spherical Tokamak - HTS,Repetition Rate,N/A,medium,"Quasi-steady — N/A per schema v0.2"
Spherical Tokamak - HTS,Driver Technology,"HTS magnets (REBCO, 5.25 T on-axis)",high,"ST-E1 Revision D; Demo4 system validation Nov 2025"
HTS Tokamak - Full HTS,Confinement Family,MFE,high,"Baseline CSV; confirmed by research"
HTS Tokamak - Full HTS,Confinement Concept,Compact tokamak,high,"HH170 is ~70% of SPARC volume with higher field"
HTS Tokamak - Full HTS,Fuel,D-T,high,"Baseline CSV; confirmed by research"
HTS Tokamak - Full HTS,Primary Heating,RF (ICRH),medium,"ICRH confirmed on HH70; HH170 plan not disclosed"
HTS Tokamak - Full HTS,Energy Capture,Thermal (unspecified),medium,"Inferred from D-T fuel; no company disclosure"
HTS Tokamak - Full HTS,Plasma State,Burning,medium,"HH170 targets Q > 10"
HTS Tokamak - Full HTS,Magnet Type,HTS (wound),high,"Jingtian magnet 21.7-22.4 T; all-REBCO coil set (TF+PF+CS)"
HTS Tokamak - Full HTS,Tritium Breeding,TBD,high,"No blanket technology disclosed; structurally unresolvable at current stage"
HTS Tokamak - Full HTS,Neutron Management,Heavy shielding (14 MeV),medium,"Physics-based inference from D-T fuel; no company disclosure"
HTS Tokamak - Full HTS,Operation Mode,Steady-state,high,"HH70 achieved 1337-second steady-state plasma (Feb 2026)"
HTS Tokamak - Full HTS,Repetition Rate,N/A,high,"Steady-state concept"
HTS Tokamak - Full HTS,Driver Technology,"HTS magnets (REBCO, 25 T)",high,"HH170 target 25 T peak field; Jingtian demo at 21.7-22.4 T"
Negative Triangularity Tokamak,Confinement Family,MFE,high,"Baseline CSV; confirmed by all sources"
Negative Triangularity Tokamak,Confinement Concept,Negative triangularity tokamak,high,"Baseline CSV; GreyB interview; DIII-D collaboration page"
Negative Triangularity Tokamak,Fuel,D-T,high,"Baseline CSV; only fuel consistent with target Q and device size"
Negative Triangularity Tokamak,Primary Heating,RF (ECRH),medium,"Venture Kick — microwaves; competing hypotheses (ECRH/ICRH/ohmic-only)"
Negative Triangularity Tokamak,Energy Capture,Thermal (unspecified),medium,"Inferred D-T default; no source discusses power conversion"
Negative Triangularity Tokamak,Plasma State,Burning,medium,"GreyB interview Q>5; MANTA achieves Q=11.5"
Negative Triangularity Tokamak,Magnet Type,HTS (wound),high,"GreyB interview — HTS 10-12 T; MANTA REBCO HTS at 11 T"
Negative Triangularity Tokamak,Tritium Breeding,TBD,low,"No Firefly disclosure; MANTA proxy uses FLiBe"
Negative Triangularity Tokamak,Neutron Management,Integrated blanket/shield,low,"MANTA proxy — FLiBe blanket serves dual breeder/shield purpose"
Negative Triangularity Tokamak,Operation Mode,Quasi-steady,medium,"MANTA ~15 min inductive pulses; reclassified per schema v0.2"
Negative Triangularity Tokamak,Repetition Rate,N/A,medium,"Quasi-steady per schema v0.2"
Negative Triangularity Tokamak,Driver Technology,HTS magnets + NT plasma shaping,medium,"GreyB interview 10-12 T HTS; DIII-D page — NT is core innovation"
State-Backed Tokamak - BEST,Confinement Family,MFE,high,"BEST Research Plan v1.1"
State-Backed Tokamak - BEST,Confinement Concept,Tokamak,high,"BEST Research Plan v1.1 R=3.6m; reclassified per schema v0.2"
State-Backed Tokamak - BEST,Fuel,D-T,high,"BEST Research Plan v1.1 Chapter 3; 110g tritium inventory"
State-Backed Tokamak - BEST,Primary Heating,RF + NBI,high,"BEST Research Plan v1.1 p.18-19 — ECRH 15MW + ICRH 10MW + LHCD 10MW + NBI 12MW"
State-Backed Tokamak - BEST,Energy Capture,Thermal (unspecified),medium,"BEST is experimental with no power conversion; CFETR studies point to sCO2 Brayton"
State-Backed Tokamak - BEST,Plasma State,Burning,medium,"BEST Research Plan v1.1 p.20 — target Q~5"
State-Backed Tokamak - BEST,Magnet Type,LTS+HTS,high,"BEST Research Plan v1.1 p.16 — Nb3Sn TF + YBCO CS sub-coils"
State-Backed Tokamak - BEST,Tritium Breeding,TBD,high,"BEST has TBM test ports but does not breed own tritium"
State-Backed Tokamak - BEST,Neutron Management,Heavy shielding (14 MeV),high,"BEST Research Plan v1.1 p.17 — full-tungsten PFCs, remote handling"
State-Backed Tokamak - BEST,Operation Mode,Quasi-steady,high,"BEST Research Plan v1.1 p.20 — long-pulse >1000s"
State-Backed Tokamak - BEST,Repetition Rate,N/A,high,"Quasi-steady/steady-state concept"
State-Backed Tokamak - BEST,Driver Technology,"LTS+HTS magnets (Nb3Sn/YBCO, 6.15T) + multi-method H&CD (50 MW)",high,"BEST Research Plan v1.1 p.16-19"
Compact Spherical Tokamak - India,Confinement Family,MFE,high,"Baseline CSV; IAEA FUSE Portal"
Compact Spherical Tokamak - India,Confinement Concept,Spherical tokamak,high,"IAEA FUSE Portal — compact spherical tokamak architectures"
Compact Spherical Tokamak - India,Fuel,D-T,high,"IAEA FUSE Portal — Deuterium-Tritium explicitly stated"
Compact Spherical Tokamak - India,Primary Heating,TBD,low,"No public information found"
Compact Spherical Tokamak - India,Energy Capture,Thermal (unspecified),medium,"Inferred from D-T fuel cycle"
Compact Spherical Tokamak - India,Plasma State,Burning,low,"Inferred from D-T steady-state tokamak design intent"
Compact Spherical Tokamak - India,Magnet Type,Unknown,low,"TF coil designs completed but magnet material not specified"
Compact Spherical Tokamak - India,Tritium Breeding,TBD,low,"No public information found"
Compact Spherical Tokamak - India,Neutron Management,Heavy shielding (14 MeV),medium,"Follows from confirmed D-T fuel cycle"
Compact Spherical Tokamak - India,Operation Mode,Steady-state,medium,"Baseline CSV Continuous; confirmed by research"
Compact Spherical Tokamak - India,Repetition Rate,N/A,high,"Steady-state concept"
Compact Spherical Tokamak - India,Driver Technology,Unknown,low,"No public information found"
Planar Coil Stellarator,Confinement Family,MFE,high,"thea.energy/fusion-technology/ — inherently stable magnetic confinement"
Planar Coil Stellarator,Confinement Concept,Stellarator (planar coil),high,"arXiv:2512.08027 — two-field-period QA stellarator"
Planar Coil Stellarator,Fuel,D-T,high,"arXiv:2512.08027 — Helios designed for D-T with LiPb TBR 1.3"
Planar Coil Stellarator,Primary Heating,RF (ECRH),high,"arXiv:2512.08027 — 10 MW ECRH at 170 GHz for startup"
Planar Coil Stellarator,Energy Capture,Thermal (steam),high,"arXiv:2512.08027 — Steam Rankine cycle at 635C, ~40.2% efficiency"
Planar Coil Stellarator,Plasma State,Burning,high,"arXiv:2512.08027 — 958 MW fusion power with only 1 MW ECRH (ignited)"
Planar Coil Stellarator,Magnet Type,HTS (planar array),high,"arXiv:2512.08027 — 12 encircling + 324 shaping coils, 20 T; arXiv:2503.18960 confirms REBCO"
Planar Coil Stellarator,Tritium Breeding,LiPb blanket,high,"arXiv:2512.08027 — Pb-17Li with 65% Li-6 enrichment, 50 cm thick, TBR 1.3"
Planar Coil Stellarator,Neutron Management,Integrated blanket/shield,high,"arXiv:2512.08027 — multi-layer shield: WC + B4C + SS + borated water + HDPE + concrete"
Planar Coil Stellarator,Operation Mode,Steady-state,high,"thea.energy — steady-state magnetic confinement fusion; 88% capacity factor"
Planar Coil Stellarator,Repetition Rate,N/A,high,"Steady-state concept"
Planar Coil Stellarator,Driver Technology,"Planar HTS coil array (12 encircling + 324 shaping, 20 T, software-controlled)",high,"arXiv:2512.08027; thea.energy/fusion-technology/"
QI Stellarator - HTS,Confinement Family,MFE,high,"proximafusion.com/technology"
QI Stellarator - HTS,Confinement Concept,Stellarator (QI),high,"proximafusion.com/technology; Stellaris paper DOI:10.1016/j.fusengdes.2025.114868"
QI Stellarator - HTS,Fuel,D-T,high,"Proxima tritium blog — WCLL blanket with TBR 1.07"
QI Stellarator - HTS,Primary Heating,RF (ECRH),medium,"Inferred from stellarator physics and W7-X heritage; not directly confirmed by Proxima"
QI Stellarator - HTS,Energy Capture,Thermal (unspecified),medium,"Inferred from WCLL blanket; ~32% plant efficiency consistent with steam Rankine"
QI Stellarator - HTS,Plasma State,Burning,medium,"2.7 GW fusion power; Q likely >>10"
QI Stellarator - HTS,Magnet Type,HTS (3D stellarator),high,"proximafusion.com/technology; Faraday Factory Japan REBCO supply agreement"
QI Stellarator - HTS,Tritium Breeding,LiPb blanket,high,"Proxima tritium blog — WCLL blanket TBR 1.07, EUROFER97"
QI Stellarator - HTS,Neutron Management,Integrated blanket/shield,medium,"Stellaris paper scope includes blanket/shield design; WCLL serves dual purpose"
QI Stellarator - HTS,Operation Mode,Steady-state,high,"proximafusion.com — 24/7 continuous operation, disruption-free"
QI Stellarator - HTS,Repetition Rate,N/A,high,"Steady-state concept"
QI Stellarator - HTS,Driver Technology,"3D HTS stellarator coils (REBCO, 20 T)",high,"proximafusion.com/technology; binding.energy analysis"
Large-Scale Stellarator,Confinement Family,MFE,high,"gauss-fusion.com — high-field magnetic confinement fusion"
Large-Scale Stellarator,Confinement Concept,Stellarator (QI),high,"CDR — four period quasi isodynamic plasma; W7-X heritage"
Large-Scale Stellarator,Fuel,D-T,high,"FusionXInvest — DT operation; 75 tonnes lithium supply chain"
Large-Scale Stellarator,Primary Heating,RF (ECRH),medium,"Inferred from stellarator physics; IPP confirms ECRH as prime stellarator heating candidate"
Large-Scale Stellarator,Energy Capture,Thermal (unspecified),medium,"CDR covers power conversion; 3 GW thermal / 1 GW electric (~33% efficiency)"
Large-Scale Stellarator,Plasma State,Burning,high,"3 GW fusion power with ~600 MW alpha particles >> any plausible external heating"
Large-Scale Stellarator,Magnet Type,LTS+HTS,high,"MT29 abstract — dual LTS/HTS development; ENEA/ICAS/Tokamak Energy partnerships"
Large-Scale Stellarator,Tritium Breeding,Li blanket (unspecified),medium,"KIT/FZJ/IDOM collaboration; Alsymex fabrication; specific type not disclosed"
Large-Scale Stellarator,Neutron Management,Heavy shielding (14 MeV),high,"D-T 14.1 MeV neutrons; tungsten + RAFM steel + beryllium in supply chain"
Large-Scale Stellarator,Operation Mode,Steady-state,high,"gauss-fusion.com — steady-state operation; inherent stellarator advantage"
Large-Scale Stellarator,Repetition Rate,N/A,high,"Steady-state concept"
Large-Scale Stellarator,Driver Technology,"Non-planar modular SC coils (LTS+HTS, 40 coils, 6T axis / 12-13T peak, demountable)",high,"MT29 abstract; partnership details"
QI Modular HTS Stellarator - Infinity Two,Confinement Family,MFE,high,"J. Plasma Phys. 2025 E65; company website"
QI Modular HTS Stellarator - Infinity Two,Confinement Concept,Stellarator (modular),high,"J. Plasma Phys. 2025 E65 — 4-field-period QI/maximum-J modular coil"
QI Modular HTS Stellarator - Infinity Two,Fuel,D-T,high,"J. Plasma Phys. 2025 — 800 MW deuterium-tritium fusion"
QI Modular HTS Stellarator - Infinity Two,Primary Heating,RF (ECRH),high,"J. Plasma Phys. 2025 — only envisioned external sources: pellet injection and ECRH"
QI Modular HTS Stellarator - Infinity Two,Energy Capture,Thermal (steam),high,"J. Plasma Phys. 2025 — Rankine cycle with reheat, >30% thermal efficiency"
QI Modular HTS Stellarator - Infinity Two,Plasma State,Burning,high,"J. Plasma Phys. 2025 E65 — Q > 40 with access to ignition"
QI Modular HTS Stellarator - Infinity Two,Magnet Type,HTS (3D stellarator),high,"J. Plasma Phys. 2025; CFS partnership for magnet development"
QI Modular HTS Stellarator - Infinity Two,Tritium Breeding,Solid ceramic breeder (HCPB),high,"J. Plasma Phys. 2025 E86 — HCPB blanket TBR=1.30 (OpenMC neutronics)"
QI Modular HTS Stellarator - Infinity Two,Neutron Management,Integrated blanket/shield,medium,"J. Plasma Phys. 2025 E86 — HCPB blanket with FLiBe backup zones"
QI Modular HTS Stellarator - Infinity Two,Operation Mode,Steady-state,high,"Type One Energy press — 2-year continuous operating cycle"
QI Modular HTS Stellarator - Infinity Two,Repetition Rate,N/A,high,"Steady-state concept"
QI Modular HTS Stellarator - Infinity Two,Driver Technology,"Modular HTS stellarator coils (REBCO, 9 T)",high,"J. Plasma Phys. 2025 E65; CFS partnership; DOE Frontier simulations"
Compact Liquid-Wall HTS Stellarator,Confinement Family,MFE,high,"Nuclear Fusion 64 (2024) 026007; company website"
Compact Liquid-Wall HTS Stellarator,Confinement Concept,Stellarator (modular),high,"Nuclear Fusion 64 (2024) 026007 — toroidal array of patterned HTS cylinders"
Compact Liquid-Wall HTS Stellarator,Fuel,D-T,high,"Nuclear Fusion 64 (2024) 026007 — D-T fuel at 10 keV design point"
Compact Liquid-Wall HTS Stellarator,Primary Heating,NBI,high,"Nuclear Fusion 64 (2024) 026007 — NNBI with 60% neutralization efficiency"
Compact Liquid-Wall HTS Stellarator,Energy Capture,Thermal (sCO2),high,"Fama et al., Energy Conversion and Management 276 (2023) — sCO2 Brayton-Rankine 49-51% efficiency"
Compact Liquid-Wall HTS Stellarator,Plasma State,Burning,high,"Nuclear Fusion 64 (2024) 026007 — Q = infinity (ignited)"
Compact Liquid-Wall HTS Stellarator,Magnet Type,HTS (3D stellarator),high,"Nuclear Fusion 64 (2024) 026007; MT29 Abstract; 6 T Helmholtz demo"
Compact Liquid-Wall HTS Stellarator,Tritium Breeding,Liquid metal wall,high,"J. Nuclear Materials 599 (2024) 155239 — Li-LiH wall with Pb pebbles"
Compact Liquid-Wall HTS Stellarator,Neutron Management,Integrated blanket/shield,high,"J. Nuclear Materials 599 (2024) 155239 — 99.99% neutron energy absorption"
Compact Liquid-Wall HTS Stellarator,Operation Mode,Steady-state,high,"Company website — near-100% duty cycle, operates continuously"
Compact Liquid-Wall HTS Stellarator,Repetition Rate,N/A,high,"Steady-state concept"
Compact Liquid-Wall HTS Stellarator,Driver Technology,"Laser-patterned HTS film on cylinders (REBCO, 10-15 T)",high,"Nuclear Fusion 64 (2024) 026007; MT29 Abstract; 6 T Helmholtz demo"
Helical Coil Stellarator,Confinement Family,MFE,high,"AIP Physics of Plasmas 30, 050601 (2023); company website"
Helical Coil Stellarator,Confinement Concept,Stellarator (helical coil),high,"AIP PoP 30, 050601 (2023) — heliotron with two continuous helical coils"
Helical Coil Stellarator,Fuel,D-T,high,"AIP PoP 30, 050601 (2023) — D-T with liquid metal blanket tritium self-production"
Helical Coil Stellarator,Primary Heating,RF (ECRH),high,"AIP PoP 30, 050601 (2023) — ECRH via gyrotrons; 250 GHz CW R&D with QST"
Helical Coil Stellarator,Energy Capture,Thermal (sCO2),medium,"Collaborative research lists CO2 gas turbines; NIFS Oroshhi-2 sCO2 demo plan"
Helical Coil Stellarator,Plasma State,Burning,high,"AIP PoP 30, 050601 (2023) — Q~13"
Helical Coil Stellarator,Magnet Type,HTS (3D stellarator),high,"AIP PoP; ANS Nuclear Newswire Oct 2025 — WISE REBCO conductor 40 kA at 7 T"
Helical Coil Stellarator,Tritium Breeding,Liquid metal wall,high,"AIP PoP 30, 050601 (2023) — modular liquid metal blanket with free-surface flow"
Helical Coil Stellarator,Neutron Management,Integrated blanket/shield,high,"AIP PoP; ANS Oct 2025 — integrated blanket/divertor system"
Helical Coil Stellarator,Operation Mode,Steady-state,high,"AIP PoP 30, 050601 (2023) — steady-state on the order of a year"
Helical Coil Stellarator,Repetition Rate,N/A,high,"Steady-state concept"
Helical Coil Stellarator,Driver Technology,"Continuous helical HTS coils (REBCO WISE conductor, 8 T) + 250 GHz CW gyrotrons",high,"AIP PoP 30, 050601 (2023); ANS Oct 2025; Sugino Machine collaboration"
FRC w/ Direct Conversion,Confinement Family,MIF,high,"helionenergy.com/technology/ — magneto-inertial fusion; schema note: pulsed FRC -> MIF"
FRC w/ Direct Conversion,Confinement Concept,FRC (pulsed compression),high,"helionenergy.com/technology/; Kirtley & Milroy, J. Fusion Energy (2023)"
FRC w/ Direct Conversion,Fuel,D-He3,high,"helionenergy.com/articles/explaining-helions-fusion-fuel-choice-d-he-3/; Feb 2026 milestone"
FRC w/ Direct Conversion,Primary Heating,Magnetic compression,high,"helionenergy.com/technology/; Kirtley & Milroy — adiabatic compression to fusion conditions"
FRC w/ Direct Conversion,Energy Capture,Direct (inductive),high,"helionenergy.com/articles/how-to-make-fusion-electricity-without-ignition/ — expanding plasma induces current in coils"
FRC w/ Direct Conversion,Plasma State,Transient,high,"helionenergy.com/faq/ — plasma lifetimes >1 ms; schema: short-lived ~ms during pulsed event"
FRC w/ Direct Conversion,Magnet Type,Pulsed EM,high,"Contrary Research — CEO Kirtley: regular aluminum magnets; RLC circuit description"
FRC w/ Direct Conversion,Tritium Breeding,Self-bred (DD side),high,"helionenergy.com/articles/how-to-engineer-a-renewable-deuterium-helium-3-fusion-fuel-cycle/"
FRC w/ Direct Conversion,Neutron Management,Reduced (D-He3),high,"helionenergy.com/faq/ — borated polyethylene/concrete; 5% neutron energy from DD side reactions"
FRC w/ Direct Conversion,Operation Mode,Pulsed,high,"helionenergy.com/articles/more-on-helions-pulsed-approach-to-fusion/"
FRC w/ Direct Conversion,Repetition Rate,~1 Hz,high,"helionenergy.com/polaris/; DocsLib ARPA-E presentation 2 Hz @ 50 MW design point"
FRC w/ Direct Conversion,Driver Technology,Pulsed EM coils (capacitor bank),high,"helionenergy.com RLC circuit article; Contrary Research"
p-B11 FRC,Confinement Family,MFE,high,"Schema notes: steady-state beam-driven FRC (TAE) -> MFE"
p-B11 FRC,Confinement Concept,FRC (beam-driven),high,"Nature Communications 2025 (s41467-025-58849-5); TAE press releases"
p-B11 FRC,Fuel,p-B11,high,"tae.com; DJT merger announcement Dec 2025"
p-B11 FRC,Primary Heating,NBI,high,"Nature Communications 2025; TAE website — NBI serves quadruple duty"
p-B11 FRC,Energy Capture,Thermal (steam),high,"TAE FAQ (tae.com/faq-fusion/) — steam turbine generator; New Atlas interview 2024"
p-B11 FRC,Plasma State,Sustained,high,"TAE technical publications — externally maintained by continuous NBI; ~40 ms lifetimes"
p-B11 FRC,Magnet Type,Resistive,medium,"Grokipedia — external copper coils; New Atlas — simple geometry magnets; Da Vinci unconfirmed"
p-B11 FRC,Tritium Breeding,N/A (aneutronic),high,"Schema definition; p-B11 fuel cycle has no tritium"
p-B11 FRC,Neutron Management,Minimal (aneutronic),high,"TAE website — neutron flux virtually non-existent; <1% from side reactions"
p-B11 FRC,Operation Mode,Steady-state,high,"TAE website; continuous NBI-sustained plasma"
p-B11 FRC,Repetition Rate,N/A,high,"Steady-state concept"
p-B11 FRC,Driver Technology,"Neutral beam injection (high-energy, tangential)",high,"Nature Communications 2025; TAE website; 2500+ patents"
Sheared-Flow Stabilized Z-Pinch,Confinement Family,MFE,high,"Schema notes: Z-pinch with self-generated fields = MFE; IEEE Spectrum"
Sheared-Flow Stabilized Z-Pinch,Confinement Concept,Z-pinch (sheared-flow),high,"zapenergy.com/how-it-works; schema vocabulary exact match"
Sheared-Flow Stabilized Z-Pinch,Fuel,D-T,high,"zapenergy.com/how-it-works — deuterium and tritium isotopes"
Sheared-Flow Stabilized Z-Pinch,Primary Heating,Ohmic (self-pinch),high,"zapenergy.com/how-it-works; Engineering Paradigms paper FST 2023"
Sheared-Flow Stabilized Z-Pinch,Energy Capture,Thermal (steam),high,"Engineering Paradigms paper FST 2023 — LiPb blanket heat via steam Rankine"
Sheared-Flow Stabilized Z-Pinch,Plasma State,Pinch,high,"Schema: self-compressed plasma column maintained by its own current"
Sheared-Flow Stabilized Z-Pinch,Magnet Type,Self-confined,high,"zapenergy.com — no external magnets; confining field from plasma current"
Sheared-Flow Stabilized Z-Pinch,Tritium Breeding,LiPb blanket,high,"Engineering Paradigms FST 2023 — LiPb eutectic TBR ~1.1; zapenergy.com"
Sheared-Flow Stabilized Z-Pinch,Neutron Management,Integrated blanket/shield,high,"Engineering Paradigms FST 2023 — ~3 m LiPb blanket serves breeding + shielding"
Sheared-Flow Stabilized Z-Pinch,Operation Mode,Pulsed,high,"zapenergy.com — ten plasma pulses per second; microsecond-scale burns"
Sheared-Flow Stabilized Z-Pinch,Repetition Rate,~10 Hz,high,"zapenergy.com — ten plasma pulses per second; Engineering Paradigms paper"
Sheared-Flow Stabilized Z-Pinch,Driver Technology,Pulsed power (sheared-flow Z-pinch),high,"FuZE-Q ~1 MJ capacitor bank up to 1.5 MA; zapenergy.com"
Magnetic Mirror (p-B11),Confinement Family,MFE,high,"ARPA-E presentation Day2_08_Fisch.pdf Jul 2025 — centrifugal magnetic mirror"
Magnetic Mirror (p-B11),Confinement Concept,Magnetic mirror,high,"ARPA-E presentation — CHARM: CHambered Aneutronic Rotating Mirror"
Magnetic Mirror (p-B11),Fuel,p-B11,high,"ARPA-E project title: Economical Proton-Boron11 Fusion"
Magnetic Mirror (p-B11),Primary Heating,RF (ICRH),medium,"ARPA-E presentation slides 6/15; alpha channeling via ion cyclotron range RF waves"
Magnetic Mirror (p-B11),Energy Capture,Direct (charged particle),medium,"ARPA-E presentation; PRX Energy 4, 013007 (2025) — adiabatic DEC; Patent US20230298771"
Magnetic Mirror (p-B11),Plasma State,Sustained,medium,"ARPA-E presentation — continuous operation with active RF maintenance; power balance diagram"
Magnetic Mirror (p-B11),Magnet Type,TBD,low,"ARPA-E presentation shows coils but no conductor technology specified"
Magnetic Mirror (p-B11),Tritium Breeding,N/A (aneutronic),high,"ARPA-E presentation slide 1: No tritium breeding needed"
Magnetic Mirror (p-B11),Neutron Management,Minimal (aneutronic),high,"ARPA-E presentation slide 1: No neutron damage and induced radioactivity"
Magnetic Mirror (p-B11),Operation Mode,Steady-state,high,"ARPA-E presentation — continuous plasma flow; centrifugal mirror is inherently steady-state"
Magnetic Mirror (p-B11),Repetition Rate,N/A,high,"Steady-state concept"
Magnetic Mirror (p-B11),Driver Technology,"Centrifugal mirror with alpha channeling (RF waves, E×B rotation, ponderomotive barriers)",high,"ARPA-E presentation; 29 published papers; 4 patent applications (2025)"
Magnetic Mirror (D-T),Confinement Family,MFE,high,"Schema definition — magnetic mirror is steady-state magnetic confinement"
Magnetic Mirror (D-T),Confinement Concept,Magnetic mirror,high,"realtafusion.com/technology/; Fusion Hub spotlight; Fusion Report interview"
Magnetic Mirror (D-T),Fuel,D-T,high,"Fusion Hub spotlight — DT fuel explicitly stated"
Magnetic Mirror (D-T),Primary Heating,RF + NBI,high,"WHAM — ECH + NBI + HHFW; Fusion Hub — NBI for end-plug, ECH for electron heating"
Magnetic Mirror (D-T),Energy Capture,Hybrid (thermal + direct),high,"Fusion Hub — venetian blinds DEC; Fusion Report — neutrons via blanket + charged particles via DEC"
Magnetic Mirror (D-T),Plasma State,Sustained,medium,"Inferred from steady-state operation and Q > 5 target; NBI/ECH still dominate"
Magnetic Mirror (D-T),Magnet Type,HTS (wound),high,"WHAM — REBCO HTS from CFS at 17 T; Fusion Hub — mirror ratio 10+"
Magnetic Mirror (D-T),Tritium Breeding,Li blanket (unspecified),medium,"Fusion Report interview — thermal blankets produce tritium from lithium; specific type undisclosed"
Magnetic Mirror (D-T),Neutron Management,Integrated blanket/shield,medium,"Fusion Report — blanket captures neutrons AND breeds tritium (dual purpose)"
Magnetic Mirror (D-T),Operation Mode,Steady-state,high,"APS DPP 2025 — Hammir targets 3+ hours continuous; mirrors inherently steady-state"
Magnetic Mirror (D-T),Repetition Rate,N/A,high,"Steady-state concept"
Magnetic Mirror (D-T),Driver Technology,"HTS mirror magnets (REBCO, 17+ T) + NBI + ECH",high,"WHAM; Fusion Hub; arXiv:2411.06644; Fusion Report interview"
