Concept Name,Companies Pursuing,Confinement Approach,Description,Fuel Type,Operation Mode,Published Machine/Plant?,University / Lab Experiments
Magnetized Target Fusion - Pneumatic Compression (D-T),General Fusion,Magnetized Target Fusion,Magnetized plasma compressed by mechanically driven liquid metal liner. Pulsed at 1-10 Hz. Intermediate density/timescale between MCF and ICF.,D-T (Deuterium-Tritium),Pulsed,No,"LANL MTF (Theta Pinch + liner), HyperJet Fusion (plasma jet driven MTF)"
Sheared-Flow Stabilized Z-Pinch (D-T),Zap Energy,Magnetized Target Fusion,"Axial current creates self-pinching magnetic field. Sheared axial flow stabilizes MHD instabilities. Pulsed/quasi-steady operation. Simple geometry, no external magnets.",D-T (Deuterium-Tritium),Pulsed,No,"FuZE (University of Washington), ZaP (UW), Sandia Z Machine (Z-pinch variant)"
Muon-Catalyzed Fusion (D-T),Acceleron Fusion,Other,"Muon replaces electron in hydrogen molecule, shrinking bond length 207x and enabling room-temperature fusion. Real physics demonstrated. Energy balance challenge: muon production cost vs. fusion energy per muon lifetime (alpha sticking problem).",D-T (Deuterium-Tritium),Continuous,No,"PSI (Switzerland), TRIUMF (Canada), ARPA-E BETHE program, RAL (UK)"
Laser ICF - Direct Drive Fast Ignition (D-T),Focused Energy,Inertial Confinement,"Laser-driven direct drive ICF with fast ignition architecture. Long-pulse DPSSL compresses cryogenic D-T capsule; petawatt-class CPA ignition pulse triggers burn. Distinguished from Xcimer's Hybrid Direct Drive (concept 27).",D-T (Deuterium-Tritium),Pulsed,No,"NIF (LLNL, indirect drive achieved Q>1), OMEGA (U. Rochester, direct drive), LMJ (France), SG-III (China)"
p-B11 FRC (p-B11),TAE Technologies,Magnetic Confinement,"Field-reversed configuration optimized for proton-boron-11 aneutronic fuel. Near-unity beta FRC with neutral beam injection for plasma heating and current drive. Truly aneutronic (<1% neutrons) eliminates tritium breeding blanket, heavy shielding, and remote handling. Requires extreme confinement performance (150-300 keV). Direct energy conversion potential.",p-B11 (Proton-Boron-11),Continuous,No,"C-2W Norman (TAE/UCI), FRX-L (LANL), TCS (UW), LSX (STI)"
Orbital Levitated Dipole (D-He3),Zephyr Fusion,Magnetic Confinement,Compact HTS dipole coil deployed to LEO using vacuum of space as confinement vessel. Eliminates vacuum vessel (dominant loss channel in terrestrial dipoles). Plasma extends to magnetic separatrix (10-50 m). Claims confinement volume exceeding ITER for <$30M. Targets D-He3 for aneutronic operation. Power delivery via beaming partners.,D-He3 (Deuterium-Helium-3),Continuous,No,"LDX (MIT/Columbia, ended), RT-1 (University of Tokyo)"
Type One Stellarator (D-T),Type One Energy,Magnetic Confinement,"Modular HTS Stellarator (QI-optimized). Building Infinity One demonstration stellarator with non-planar HTS coils, followed by Infinity Two pilot plant. Solid-breeder (HCPB) blanket. Steady-state, disruption-free.",D-T (Deuterium-Tritium),Continuous,No,"Wendelstein 7-X (IPP Greifswald), HSX (UW-Madison)"
Renaissance Stellarator (D-T),Renaissance Fusion,Magnetic Confinement,"Compact stellarator with laser-patterned HTS film on cylinders (novel manufacturing). Flowing liquid Li-LiH wall + Pb pebble multiplier (architectural hybrid). Steady-state.",D-T (Deuterium-Tritium),Continuous,No,"Wendelstein 7-X (IPP Greifswald), LHD (NIFS Japan)"
Spherical Tokamak - HTS (D-T),Tokamak Energy,Magnetic Confinement,"Low aspect-ratio tokamak with HTS magnets. Higher plasma beta and more compact than conventional tokamak. Distinct physics regime from CFS ARC-class devices. Potential for smaller, cheaper devices at the cost of more challenging center-stack engineering.",D-T (Deuterium-Tritium),Pulsed,No,"MAST-U (Culham/UKAEA), NSTX-U (PPPL), START (Culham), Globus-M2 (Ioffe Institute)"
Projectile ICF (D-T),First Light Fusion,Inertial Confinement,"Hypervelocity projectile compresses fuel target on impact. Electromagnetic launcher accelerates projectile to >70 km/s. Multi-cavity amplifier targets reach pressures to 10 TPa. Liquid Li curtain wall (TBR=1.8, validated TUV SUD UK Feb 2026) serves as integrated breeder/shield. Pulsed at sub-Hz (0.033 Hz pilot; 0.1 Hz commercial).",D-T (Deuterium-Tritium),Pulsed,No,"Sandia flyer plate experiments, First Light Fusion (Project Amp), Naval Research Lab (flyer plate ICF)"
Laser ICF - Nanostructured Target (p-B11),Marvel Fusion,Inertial Confinement,"Ultrashort-pulse laser irradiates engineered nanostructured solid targets (nanowires, foams, layered composites) containing p-B11 fuel. Enhanced laser absorption via nanostructure (potentially 80%+ vs 5-15% for smooth surfaces). Aneutronic. Room-temperature target handling, no cryogenics.",p-B11 (Proton-Boron-11),Pulsed,No,"LFEX (Osaka, p-B11 alpha detection), NIF ARC beamline experiments, ELI-NP (Romania), Vulcan (RAL UK)"
Dense Plasma Focus (p-B11),LPPFusion,Other,"Pulsed coaxial electrodes create dense, short-lived plasma pinch (plasmoid). Claims path to p-B11 net energy via extreme ion temperatures in the pinch. Very simple, compact device. Direct energy conversion of charged fusion products.",p-B11 (Proton-Boron-11),Pulsed,No,"Various DPF devices worldwide (Chile, Poland, Singapore), NX2 (Singapore), PF-1000 (IPPLM Warsaw)"
Heavy Ion Beam ICF (D-T),Intensity Energy,Inertial Confinement,"Linear induction accelerator drives heavy ion beams to compress DT targets. Key advantage: 30-50% wall-plug efficiency vs 1-15% for lasers. Accelerator is inherently modular (hundreds of identical induction cells), enabling factory mass production. Direct-drive HIF targets.",D-T (Deuterium-Tritium),Pulsed,No,"LBNL HIF program (ended), FAIR/GSI (Germany), NDCX-II (LBNL)"
Laser ICF - Hybrid Direct Drive (D-T),Xcimer Energy,Inertial Confinement,"Hybrid Direct Drive (HDD) laser ICF architecture. First pulse heats a hohlraum to generate X-rays that ablate the capsule and form a thick plasma atmosphere; subsequent pulses drive the capsule directly through this atmosphere. Excimer (KrF) laser system at 248 nm UV, ASPEN pulse compression, 10+ MJ. Distinct from conventional indirect drive (concept 31, Inertia) and conventional direct drive (concept 17, Focused Energy).",D-T (Deuterium-Tritium),Pulsed,No,"Phoenix laser (Xcimer, Jun 2025), Physics of Plasmas 31(11), 112708 (2024)"
Polywell (D-T),EMC2,Electrostatic Confinement,Magnetic cusp confinement of electrons to create a deep electrostatic potential well that confines and accelerates ions. Combines magnetic and electrostatic confinement principles.,D-T (Deuterium-Tritium),,No,
HTS Tokamak - Full HTS (D-T),Energy Singularity,Magnetic Confinement,"World's first full HTS tokamak (HH70). Achieved 1,337-second steady-state plasma in Feb 2026. Based in Shanghai. Building next-gen Honghuang 170 targeting demo power station ~2030.",D-T (Deuterium-Tritium),Continuous,Yes,"EAST (ASIPP), HH70 (Energy Singularity)"
Negative Triangularity Tokamak (D-T),Firefly Fusion,Magnetic Confinement,"Compact tokamak optimized for negative triangularity plasma shape. Higher confinement, disruption-resilient. Prototype called LUCIOLE. Franco-Swiss company collaborating with DIII-D National Facility. Targets early 2030s for burning plasma demo.",D-T (Deuterium-Tritium),Continuous,No,"DIII-D (General Atomics), TCV (EPFL/SPC)"
Laser ICF - Indirect Drive (D-T),Inertia Enterprises,Inertial Confinement,"Laser-driven indirect drive ICF using a hohlraum to convert laser light to X-rays that compress a D-T fuel capsule. DPSSL (Thunderwall: ~1000 beamlines at 10 kJ each, 10 Hz, frequency-tripled UV; 10 MJ total). Building on Kritcher's NIF Hybrid-E target heritage. Founded by Jeff Lawson + Kritcher + Mike Dunne. $450M Series A (Feb 2026).",D-T (Deuterium-Tritium),Pulsed,No,NIF (LLNL) achieved ignition December 2022
Laser ICF - OEC Architecture (D-T),Blue Laser Fusion,Inertial Confinement,"Laser-based IFE using novel Optical Enhancement Cavity (OEC) architecture. Founded by 2014 Nobel Laureate Dr. Shuji Nakamura (white LED inventor). Claims efficient, modular, reliable, cost-effective laser system. Based in Santa Barbara with offices in Silicon Valley and Tokyo.",D-T (Deuterium-Tritium),Pulsed,No,
Laser ICF - French National (D-T),GenF Systems,Inertial Confinement,Laser-driven ICF. Spin-off from Thales Group. Leading TARANIS project with CNRS and CEA. Winner of France 2030 program. Targeting 1000 MW power plant by 2050.,D-T (Deuterium-Tritium),Pulsed,No,"LMJ (CEA), PETAL (CEA)"
State-Backed Tokamak - BEST (D-T),Neo Fusion,Magnetic Confinement,"Developing BEST (Burning Plasma Experimental Superconducting Tokamak). Majority state-owned (CNPC, Chinese Academy of Sciences). Plans first plasma 2027, Q~5 by 2035. Part of China's national fusion strategy.",D-T (Deuterium-Tritium),Continuous,No,"EAST (ASIPP), HL-2M (SWIP)"
PoloMac Magnetic Confinement,Deutelio,Magnetic Confinement,PoloMac concept for magnetic confinement. Swiss early-stage startup. 4th place Boldbrain Startup Challenge 2025.,Unknown,Continuous,No,
Helical Coil Stellarator (D-T),Helical Fusion,Magnetic Confinement,Advanced nuclear fusion reactors using helical coil technology. Spun out from Japan's National Institute for Fusion Science (NIFS). Tokyo-based.,D-T (Deuterium-Tritium),Continuous,No,LHD (NIFS Japan)
Magnetized Target Inertial Fusion - MTIF (D-D),NearStar Fusion,Magnetized Target Fusion,"Magnetized Target Inertial Fusion (MTIF). Plasma armature railgun launches 50 gram projectiles at ~10 km/s into pure deuterium fuel targets that are magnetized upon impact. Confinement family is MIF (not IFE) because fuel is magnetized during compression. Distinct from concept 23 (First Light Fusion) which uses electromagnetic launcher at >70 km/s into D-T targets with no magnetization. D-D primary fuel; D-T listed as backup. Molten Pb first wall.",D-D (Deuterium-Deuterium),Pulsed,No,
Particle Accelerator-Driven Fusion (D-T),SHINE Technologies,Other,"High-current particle accelerator drives beam-target D-T reactions to produce neutrons. Operating commercial neutron source since 2010 (medical isotopes including Mo-99, materials testing, radiation hardening services for industrial and defense applications). Non-power application — current revenue model is medical isotopes and irradiation services, not electricity. Future power-plant variant is possible but undisclosed. Blanket = N/A (non-power, not no-tritium): SHINE uses D-T fuel but does not breed tritium because they buy it commercially for the accelerator beam-target reactions.",D-T (Deuterium-Tritium),Continuous,Yes,
Spherical Tokamak - CS-free p-B11 (p-B11),ENN Energy,Magnetic Confinement,"Spherical tokamak with central-solenoid-free (CS-free) operation; non-inductive current drive via ECRH. Targeting proton-boron 11 fuel for aneutronic operation. Devices: EXL-50 (2019, R=50cm, 0.5 T), EXL-50U (first plasma Jan 2024, 1 MA / 1.2 T sustained), EHL-2 (target 2027, 3 MA). ENN's published roadmap: ENN's roadmap for proton-boron fusion based on spherical torus, Physics of Plasmas 31(6), 062507 (2024). Funded $400M by parent gas company; private-sector commercial fusion development.",p-B11 (Proton-Boron-11),Continuous,Yes,"EXL-50/EXL-50U (ENN), EHL-2 (ENN target 2027)"
